HNAP_ATTRIBUTES,FEATURE_ATTRIBUTES,METADATA_SECTION
file_identifier,id,GMD_MDMETADATA;GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR;GMD_DISTRIBUTIONFORMAT;GMD_KEYWORDS;GMD_REFERENCESYSTEMINFO;GMD_RESOURCEMAINTENANCE;GMD_TOPICCATEGORY;GMD_TRANSFEROPTIONS
date_last_modified,record_last_modified,GMD_MDMETADATA
metadata_standard,metadata_standard_version,GMD_MDMETADATA
dataset_title,title,GMD_MDMETADATA
dataset_title_other_lang,title_fr,GMD_MDMETADATA
dataset_title_other_lang_locale,dataset_title_other_lang_locale,GMD_MDMETADATA
date_published,record_publish_date,GMD_MDMETADATA
date_created,record_create_date,GMD_MDMETADATA
abstract,notes,GMD_MDMETADATA
abstract_other_lang,notes_fr,GMD_MDMETADATA
abstract_other_lang_locale,abstract_other_lang_locale,GMD_MDMETADATA
abstract_other_lang_warning_fr,abstract_other_lang_warning,GMD_MDMETADATA
status_process_code,progress_code_code,GMD_MDMETADATA
status_process_en,progress_code,GMD_MDMETADATA
status_process_fr,progress_code_fr,GMD_MDMETADATA
graphicoverview_link,graphic_link,GMD_MDMETADATA
p-t_license,p-t_license,GMD_MDMETADATA
p-t_license_other_lang,p-t_license_fr,GMD_MDMETADATA
p-t_license_other_lang_locale,p-t_license_other_lang_locale,GMD_MDMETADATA
spatial_representation_type_code,spatial_representation_type_code,GMD_MDMETADATA
spatial_representation_type_en,spatial_representation_type,GMD_MDMETADATA
spatial_representation_type_fr,spatial_representation_type_fr,GMD_MDMETADATA
data_collection_start_date,data_collection_start_date,GMD_MDMETADATA
data_collection_end_date,data_collection_end_date,GMD_MDMETADATA
west_bound_longitude,west_bound_longitude,GMD_MDMETADATA
east_bound_longitude,east_bound_longitude,GMD_MDMETADATA
south_bound_latitude,south_bound_latitude,GMD_MDMETADATA
north_bound_latitude,north_bound_latitude,GMD_MDMETADATA
individualName,contacts{}.name,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
p-t_entity,p-t_entity,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
sector,sector,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
p-t_entity_other_lang,p-t_entity_fr,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
p-t_entity_other_lang_locale,p-t_entity_other_lang_locale,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
sector_other_lang,sector_fr,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_email,contacts{}.email,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_email_other_lang,contacts{}.email,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
