TBS_ATTRIBUTES,FEATURE_ATTRIBUTES,SECTION
data_collection_end_date,data_collection_end_date,ROOT
data_collection_start_date,data_collection_start_date,ROOT
date_published,record_publish_date,ROOT
contact_form_en,contact_url,ROOT
contact_form_fr,contact_url,ROOT
email,contacts{0}.email,ROOT
format,resources{}.format,RESOURCES
format_resourceType_en,resources{}.format_resourceType_en,RESOURCES
id,id,ROOT;RESOURCES
jurisdiction,jurisdiction,ROOT
keyword_en_tag,keyword_en_tag,ROOT
keyword_fr_tag,keyword_fr_tag,ROOT
keywords_en,tags{}.display_name,ROOT
keywords_fr,tags{}.display_name_fr,ROOT
locale,tbs_locale,ROOT
metadata_contact_en,organization.title,ROOT
metadata_contact_en_tag,metadata_contact_en_tag,ROOT
metadata_contact_fr,organization.title,ROOT
metadata_contact_fr_tag,metadata_contact_fr_tag,ROOT
notes_en,notes_en,ROOT
notes_en_tag,notes_en_tag,ROOT
notes_fr,notes_fr,ROOT
notes_fr_tag,notes_fr_tag,ROOT
org_name,organization,ROOT
org_title_en_tag,org_title_en_tag,ROOT
org_title_fr_tag,org_title_fr_tag,ROOT
position_en_tag,position_en_tag,ROOT
position_fr_tag,position_fr_tag,ROOT
prov_portal_last_modified,record_last_modified,ROOT
p-t_entity_en,p-t_entity,ROOT
p-t_entity_fr,p-t_entity_fr,ROOT
resname_en,resources{}.name,RESOURCES
resname_en_tag,resname_en_tag,RESOURCES
resname_fr,resources{}.name_fr,RESOURCES
resname_fr_tag,resname_fr_tag,RESOURCES
source_metadata_date_created,record_create_date,ROOT
tbs_collection,tbs_collection,ROOT
tbs_hierarchy_level,tbs_hierarchy_level,ROOT
tbs_imso_approval,tbs_imso_approval,ROOT
tbs_license_id,tbs_license,ROOT
tbs_locale,tbs_locale,ROOT
tbs_owner_org_id,tbs_owner_org_id,ROOT
tbs_ready_to_publish,tbs_ready_to_publish,ROOT
tbs_responsible_role,tbs_responsible_role,ROOT
tbs_restriction,tbs_restriction,ROOT
tbs_state,tbs_state,ROOT
TBS_subject,TBS_Subject{}.value,ROOT
TBS_topic,TBS_Topic{}.value,ROOT
tbs_type,tbs_type,ROOT
title_en,title,ROOT
title_en_tag,title_en_tag,ROOT
title_fr,title_fr,ROOT
title_fr_tag,title_fr_tag,ROOT
update_frequency_tbs,update_frequency,ROOT
url,resources{}.url,RESOURCES
resource_language,tbs_resource_lang,RESOURCES
